日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20230824,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.14,0.05,0.04,0.00,0.00,23466
20230825,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.10,-0.04,-0.03,0.00,0.00,23496
20230828,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.03,-0.07,-0.05,0.00,0.00,23489
20230829,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.98,-0.05,-0.03,0.00,0.00,23549
20230830,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.05,0.07,0.05,0.00,0.00,23582
20230831,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.09,0.04,0.03,0.00,0.00,23618
20230901,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.01,-0.09,-0.06,0.00,0.00,23646
20230904,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.85,-0.16,-0.11,0.00,0.00,23636
20230905,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.85,0.00,0.00,0.00,0.00,23651
20230906,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.72,-0.13,-0.09,0.00,0.00,23683
20230907,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.60,-0.12,-0.08,0.00,0.00,23689
20230908,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.57,-0.03,-0.02,0.00,0.00,23689
20230911,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.55,-0.01,-0.01,0.00,0.00,23660
20230912,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.60,0.04,0.03,0.00,0.00,23663
20230913,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.63,0.03,0.02,0.00,0.00,23690
20230914,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.69,0.07,0.05,0.00,0.00,23694
20230915,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.67,-0.02,-0.01,0.00,0.00,23710
20230918,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.56,-0.11,-0.08,0.00,0.00,23692
20230919,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.56,0.00,0.00,0.00,0.00,23709
